Time,Pump Event,Pump Run Time,Pump Interval,Gallons Per Hour
2025-04-04-00:07:26,Auto Pump Start,,,
2025-04-04-00:08:12,Pump Stop,46.59,10.92,72.05
2025-04-04-00:18:31,Auto Pump Start,,,
2025-04-04-00:19:17,Pump Stop,46.45,11.08,70.9
2025-04-04-00:29:26,Auto Pump Start,,,
2025-04-04-00:30:13,Pump Stop,46.81,10.93,72.03
2025-04-04-00:40:23,Auto Pump Start,,,
2025-04-04-00:41:10,Pump Stop,46.42,10.95,71.8
2025-04-04-00:51:39,Auto Pump Start,,,
2025-04-04-00:52:26,Pump Stop,46.45,11.27,69.65
2025-04-04-01:02:52,Auto Pump Start,,,
2025-04-04-01:03:38,Pump Stop,46.06,11.2,70.05
2025-04-04-01:14:39,Auto Pump Start,,,
2025-04-04-01:15:25,Pump Stop,46.28,11.79,66.34
2025-04-04-01:26:08,Auto Pump Start,,,
2025-04-04-01:26:54,Pump Stop,46.22,11.49,68.17
2025-04-04-01:37:42,Auto Pump Start,,,
2025-04-04-01:38:28,Pump Stop,45.92,11.56,67.67
2025-04-04-01:49:31,Auto Pump Start,,,
2025-04-04-01:50:17,Pump Stop,45.95,11.81,66.2
2025-04-04-02:02:00,Auto Pump Start,,,
2025-04-04-02:02:47,Pump Stop,46.07,12.5,62.3
2025-04-04-02:13:25,Auto Pump Start,,,
2025-04-04-02:14:11,Pump Stop,45.8,11.41,68.67
2025-04-04-02:25:52,Auto Pump Start,,,
2025-04-04-02:26:38,Pump Stop,45.97,12.45,62.54
2025-04-04-02:38:00,Auto Pump Start,,,
2025-04-04-02:38:46,Pump Stop,46.24,12.13,64.33
2025-04-04-02:49:57,Auto Pump Start,,,
2025-04-04-02:50:42,Pump Stop,45.48,11.94,65.34
2025-04-04-03:02:41,Auto Pump Start,,,
2025-04-04-03:03:27,Pump Stop,45.87,12.74,61.04
2025-04-04-03:15:48,Auto Pump Start,,,
2025-04-04-03:16:33,Pump Stop,45.73,13.11,59.17
2025-04-04-03:28:44,Auto Pump Start,,,
2025-04-04-03:29:29,Pump Stop,45.29,12.93,60.05
2025-04-04-03:41:07,Auto Pump Start,,,
2025-04-04-03:41:53,Pump Stop,46.16,12.4,62.83
2025-04-04-03:53:53,Auto Pump Start,,,
2025-04-04-03:54:38,Pump Stop,45.27,12.75,60.92
2025-04-04-04:07:31,Auto Pump Start,,,
2025-04-04-04:08:17,Pump Stop,46.3,13.65,56.73
2025-04-04-04:20:27,Auto Pump Start,,,
2025-04-04-04:21:13,Pump Stop,45.54,12.93,60.03
2025-04-04-04:34:08,Auto Pump Start,,,
2025-04-04-04:34:54,Pump Stop,45.72,13.68,56.57
2025-04-04-04:47:27,Auto Pump Start,,,
2025-04-04-04:48:12,Pump Stop,45.1,13.3,58.24
2025-04-04-05:01:53,Auto Pump Start,,,
2025-04-04-05:02:39,Pump Stop,45.38,14.45,53.38
2025-04-04-05:15:08,Auto Pump Start,,,
2025-04-04-05:15:54,Pump Stop,45.66,13.25,58.5
2025-04-04-05:29:34,Auto Pump Start,,,
2025-04-04-05:30:20,Pump Stop,46.02,14.44,53.44
2025-04-04-05:43:36,Auto Pump Start,,,
2025-04-04-05:44:22,Pump Stop,45.08,14.02,55.08
2025-04-04-05:58:03,Auto Pump Start,,,
2025-04-04-05:58:49,Pump Stop,45.63,14.46,53.36
2025-04-04-06:12:22,Auto Pump Start,,,
2025-04-04-06:13:08,Pump Stop,45.3,14.31,53.9
2025-04-04-06:26:58,Auto Pump Start,,,
2025-04-04-06:27:43,Pump Stop,45.15,14.58,52.84
2025-04-04-06:42:03,Auto Pump Start,,,
2025-04-04-06:42:49,Pump Stop,45.92,15.1,50.99
2025-04-04-06:57:17,Auto Pump Start,,,
2025-04-04-06:58:02,Pump Stop,45.5,15.23,50.51
2025-04-04-07:12:40,Auto Pump Start,,,
2025-04-04-07:13:26,Pump Stop,45.78,15.4,49.93
2025-04-04-07:28:23,Auto Pump Start,,,
2025-04-04-07:29:09,Pump Stop,45.35,15.71,48.87
2025-04-04-07:43:59,Auto Pump Start,,,
2025-04-04-07:44:44,Pump Stop,45.28,15.59,49.25
2025-04-04-08:00:34,Auto Pump Start,,,
2025-04-04-08:01:21,Pump Stop,46.39,16.61,46.16
2025-04-04-08:15:59,Auto Pump Start,,,
2025-04-04-08:16:45,Pump Stop,45.92,15.41,49.91
2025-04-04-08:32:19,Auto Pump Start,,,
2025-04-04-08:33:04,Pump Stop,45.72,16.32,46.97
2025-04-04-08:49:05,Auto Pump Start,,,
2025-04-04-08:49:51,Pump Stop,45.14,16.77,45.62
2025-04-04-09:06:10,Auto Pump Start,,,
2025-04-04-09:06:56,Pump Stop,45.54,17.08,44.76
2025-04-04-09:22:21,Auto Pump Start,,,
2025-04-04-09:23:06,Pump Stop,45.23,16.17,47.4
2025-04-04-09:38:29,Auto Pump Start,,,
2025-04-04-09:39:15,Pump Stop,45.49,16.14,47.5
2025-04-04-09:54:29,Auto Pump Start,,,
2025-04-04-09:55:15,Pump Stop,45.15,16.0,47.93
2025-04-04-10:10:03,Auto Pump Start,,,
2025-04-04-10:10:49,Pump Stop,45.24,15.57,49.33
2025-04-04-10:25:06,Auto Pump Start,,,
2025-04-04-10:25:52,Pump Stop,45.8,15.05,51.16
2025-04-04-10:40:04,Auto Pump Start,,,
2025-04-04-10:40:50,Pump Stop,45.59,14.97,51.44
2025-04-04-10:55:02,Auto Pump Start,,,
2025-04-04-10:55:48,Pump Stop,46.14,14.98,51.41
2025-04-04-11:09:17,Auto Pump Start,,,
2025-04-04-11:10:04,Pump Stop,46.33,14.25,54.21
2025-04-04-11:23:09,Auto Pump Start,,,
2025-04-04-11:23:55,Pump Stop,45.82,13.85,55.84
2025-04-04-11:36:27,Auto Pump Start,,,
2025-04-04-11:37:11,Pump Stop,44.98,13.28,58.33
2025-04-04-11:49:53,Auto Pump Start,,,
2025-04-04-11:50:39,Pump Stop,45.99,13.47,57.55
2025-04-04-12:02:55,Auto Pump Start,,,
2025-04-04-12:03:41,Pump Stop,45.81,13.02,59.62
2025-04-04-12:15:38,Auto Pump Start,,,
2025-04-04-12:16:25,Pump Stop,46.3,12.73,61.1
2025-04-04-12:28:06,Auto Pump Start,,,
2025-04-04-12:28:52,Pump Stop,46.28,12.46,62.51
2025-04-04-12:40:33,Auto Pump Start,,,
2025-04-04-12:41:19,Pump Stop,45.44,12.43,62.58
2025-04-04-12:52:46,Auto Pump Start,,,
2025-04-04-12:53:32,Pump Stop,45.57,12.22,63.74
2025-04-04-13:05:09,Auto Pump Start,,,
2025-04-04-13:05:55,Pump Stop,45.85,12.37,62.94
2025-04-04-13:16:45,Auto Pump Start,,,
2025-04-04-13:17:30,Pump Stop,45.23,11.59,67.42
2025-04-04-13:28:31,Auto Pump Start,,,
2025-04-04-13:29:16,Pump Stop,45.63,11.77,66.39
2025-04-04-13:40:29,Auto Pump Start,,,
2025-04-04-13:41:14,Pump Stop,45.0,11.96,65.21
