Unnamed: 0,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal
4708,50:12.7,2025,4,4,8,50,12,18.27,36.5,0
4709,50:27.7,2025,4,4,8,50,27,18.275,36.5,0
4710,50:42.7,2025,4,4,8,50,42,18.145,36.5,0
4711,50:57.7,2025,4,4,8,50,57,18.175,36.5,0
4712,51:12.7,2025,4,4,8,51,12,18.15,36.5,0
4713,51:27.7,2025,4,4,8,51,27,18.15,36.5,0
4714,51:42.7,2025,4,4,8,51,42,18.15,36.5,0
4715,51:57.7,2025,4,4,8,51,57,18.175,36.5,0
4716,52:12.7,2025,4,4,8,52,12,18.245,36.5,0
4717,52:27.7,2025,4,4,8,52,27,18.205,36.5,0
4718,52:42.7,2025,4,4,8,52,42,18.255,36.5,0
4719,52:57.7,2025,4,4,8,52,57,18.22,36.5,0
4720,53:12.7,2025,4,4,8,53,12,18.26,36.5,0
4721,53:27.7,2025,4,4,8,53,27,18.275,36.5,0
4722,53:42.8,2025,4,4,8,53,42,18.35,36.5,0
4723,53:57.8,2025,4,4,8,53,57,18.27,36.5,0
4724,54:12.8,2025,4,4,8,54,12,18.3,36.5,0
4725,54:27.8,2025,4,4,8,54,27,18.27,36.5,0
4726,54:42.8,2025,4,4,8,54,42,18.35,36.5,0
4727,54:57.8,2025,4,4,8,54,57,18.265,36.5,0
4728,55:12.8,2025,4,4,8,55,12,18.27,36.5,0
4729,55:27.8,2025,4,4,8,55,27,18.27,36.5,0
4730,55:42.8,2025,4,4,8,55,42,18.29,36.5,0
4731,55:57.8,2025,4,4,8,55,57,18.295,36.5,0
4732,56:12.8,2025,4,4,8,56,12,18.245,36.5,0
4733,56:27.8,2025,4,4,8,56,27,18.295,36.5,0
4734,56:42.8,2025,4,4,8,56,42,18.245,36.5,0
4735,56:57.8,2025,4,4,8,56,57,18.265,36.5,0
4736,57:12.8,2025,4,4,8,57,12,18.295,36.5,0
4737,57:27.8,2025,4,4,8,57,27,18.27,36.5,0
4738,57:42.8,2025,4,4,8,57,42,18.29,36.5,0
4739,57:57.8,2025,4,4,8,57,57,18.255,36.5,0
4740,58:12.8,2025,4,4,8,58,12,18.27,36.5,0
4741,58:27.8,2025,4,4,8,58,27,18.27,36.5,0
4742,58:42.8,2025,4,4,8,58,42,18.3,36.5,0
4743,58:57.8,2025,4,4,8,58,57,18.345,36.5,0
4744,59:12.8,2025,4,4,8,59,12,18.355,36.5,0
4745,59:27.8,2025,4,4,8,59,27,18.4625,36.5,0
4746,59:42.8,2025,4,4,8,59,42,18.49125,36.5,0
4747,59:57.8,2025,4,4,8,59,57,18.57,36.5,0
4748,00:12.8,2025,4,4,9,0,12,18.65,36.475,0
4749,00:27.8,2025,4,4,9,0,27,18.745,36.38,0
4750,00:42.8,2025,4,4,9,0,42,18.835,36.29,0
4751,00:57.8,2025,4,4,9,0,57,18.9,36.225,0
4752,01:12.8,2025,4,4,9,1,12,18.96375,36.16125,0
4753,01:27.8,2025,4,4,9,1,27,19.02875,36.09625,0
4754,01:42.8,2025,4,4,9,1,42,19.08125,36.04375,0
4755,01:57.8,2025,4,4,9,1,57,19.16,35.965,0
4756,02:12.8,2025,4,4,9,2,12,19.51625,35.60875,0
4757,02:27.8,2025,4,4,9,2,27,19.285,35.84,0
4758,02:42.8,2025,4,4,9,2,42,19.43,35.695,0
4759,02:57.8,2025,4,4,9,2,57,19.525,35.6,0
4760,03:12.8,2025,4,4,9,3,12,19.58,35.545,0
4761,03:27.8,2025,4,4,9,3,27,19.66125,35.46375,0
4762,03:42.8,2025,4,4,9,3,42,19.68375,35.44125,0
4763,03:57.8,2025,4,4,9,3,57,19.765,35.36,0
4764,04:12.8,2025,4,4,9,4,12,19.805,35.32,0
4765,04:27.8,2025,4,4,9,4,27,19.95,35.175,0
4766,04:42.8,2025,4,4,9,4,42,19.95,35.175,0
4767,04:57.8,2025,4,4,9,4,57,20.07,35.055,0
4768,05:12.8,2025,4,4,9,5,12,20.11,35.015,0
4769,05:27.8,2025,4,4,9,5,27,20.17375,34.95125,0
4770,05:42.8,2025,4,4,9,5,42,20.29,34.835,0
4771,05:57.8,2025,4,4,9,5,57,20.36,34.765,0
4772,06:12.8,2025,4,4,9,6,12,20.48,34.645,0
4773,06:27.8,2025,4,4,9,6,27,20.485,34.64,0
4774,06:42.8,2025,4,4,9,6,42,20.44,34.685,0
4775,06:57.8,2025,4,4,9,6,57,20.41,34.715,0
4776,07:12.8,2025,4,4,9,7,12,20.48,34.645,0
4777,07:27.8,2025,4,4,9,7,27,20.435,34.69,0
4778,07:42.8,2025,4,4,9,7,42,20.63,34.495,0
4779,07:57.8,2025,4,4,9,7,57,20.64,34.485,0
4780,08:12.8,2025,4,4,9,8,12,20.82,34.305,0
4781,08:27.8,2025,4,4,9,8,27,20.66,34.465,0
4782,08:42.8,2025,4,4,9,8,42,20.8975,34.2275,0
4783,08:57.8,2025,4,4,9,8,57,20.84375,34.28125,0
4784,09:12.8,2025,4,4,9,9,12,21.2525,33.8725,0
4785,09:27.8,2025,4,4,9,9,27,21.0125,34.1125,0
4786,09:42.8,2025,4,4,9,9,42,21.01125,34.11375,0
4787,09:57.8,2025,4,4,9,9,57,21.4475,33.6775,0
4788,10:12.8,2025,4,4,9,10,12,21.205,33.92,0
4789,10:27.8,2025,4,4,9,10,27,21.24,33.885,0
4790,10:42.9,2025,4,4,9,10,42,21.26,33.865,0
4791,10:57.9,2025,4,4,9,10,57,21.33,33.795,0
4792,11:12.9,2025,4,4,9,11,12,21.485,33.64,0
4793,11:27.9,2025,4,4,9,11,27,21.60625,33.51875,0
4794,11:42.9,2025,4,4,9,11,42,21.665,33.46,0
4795,11:57.9,2025,4,4,9,11,57,21.755,33.37,0
4796,12:12.9,2025,4,4,9,12,12,21.73,33.395,0
