Unnamed: 0,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal
2391,2025-03-15 21:12:57.887644,2025.0,3.0,15.0,21.0,12.0,57.0,38.7,16.42,551.0
2392,2025-03-15 21:13:14.264692,2025.0,3.0,15.0,21.0,13.0,14.0,38.67,16.45,553.0
2393,2025-03-15 21:13:30.633051,2025.0,3.0,15.0,21.0,13.0,30.0,38.63,16.5,554.0
2394,2025-03-15 21:13:46.976278,2025.0,3.0,15.0,21.0,13.0,46.0,38.66125,16.46,553.0
2395,2025-03-15 21:14:03.344733,2025.0,3.0,15.0,21.0,14.0,3.0,38.67625,16.45,552.0
2396,2025-03-15 21:14:19.713240,2025.0,3.0,15.0,21.0,14.0,19.0,38.7,16.42,551.0
2397,2025-03-15 21:14:36.081023,2025.0,3.0,15.0,21.0,14.0,36.0,38.7,16.42,551.0
2398,2025-03-15 21:14:52.014634,2025.0,3.0,15.0,21.0,14.0,52.0,38.67625,16.45,552.0
2399,2025-03-15 21:15:08.381837,2025.0,3.0,15.0,21.0,15.0,8.0,38.7,16.42,551.0
2400,2025-03-15 21:15:24.749896,2025.0,3.0,15.0,21.0,15.0,24.0,38.67625,16.45,552.0
2401,2025-03-15 21:15:41.118255,2025.0,3.0,15.0,21.0,15.0,41.0,38.63,16.5,554.0
2402,2025-03-15 21:15:57.472808,2025.0,3.0,15.0,21.0,15.0,57.0,38.1275,17.0,574.0
2403,2025-03-15 21:16:13.839279,2025.0,3.0,15.0,21.0,16.0,13.0,38.22,16.9,571.0
2404,2025-03-15 21:16:30.186182,2025.0,3.0,15.0,21.0,16.0,30.0,38.19,16.94,572.0
2405,2025-03-15 21:16:46.555313,2025.0,3.0,15.0,21.0,16.0,46.0,38.21,16.92,571.0
2406,2025-03-15 21:17:02.912013,2025.0,3.0,15.0,21.0,17.0,2.0,38.23,16.9,570.0
2407,2025-03-15 21:17:19.248299,2025.0,3.0,15.0,21.0,17.0,19.0,38.33,16.8,566.0
2408,2025-03-15 21:17:35.601010,2025.0,3.0,15.0,21.0,17.0,35.0,38.19,16.94,572.0
2409,2025-03-15 21:17:51.970765,2025.0,3.0,15.0,21.0,17.0,51.0,38.19,16.94,572.0
