Unnamed: 0,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal
0,2025-03-15 10:29:26.873813,2025.0,3.0,15.0,10.0,29.0,26.0,33.8,21.33,746.0
1,2025-03-15 10:29:43.227638,2025.0,3.0,15.0,10.0,29.0,43.0,33.82,21.3,746.0
2,2025-03-15 10:29:59.488343,2025.0,3.0,15.0,10.0,29.0,59.0,33.86,21.26,744.0
3,2025-03-15 10:30:15.767991,2025.0,3.0,15.0,10.0,30.0,15.0,33.9,21.22,742.0
4,2025-03-15 10:30:32.048274,2025.0,3.0,15.0,10.0,30.0,32.0,36.072500000000005,19.05,656.0
5,2025-03-15 10:30:48.376501,2025.0,3.0,15.0,10.0,30.0,48.0,33.705,21.42,750.0
6,2025-03-15 10:31:04.705352,2025.0,3.0,15.0,10.0,31.0,4.0,34.79375,20.33,707.0
7,2025-03-15 10:31:21.033739,2025.0,3.0,15.0,10.0,31.0,21.0,33.9725,21.15,740.0
8,2025-03-15 10:31:37.361467,2025.0,3.0,15.0,10.0,31.0,37.0,33.905,21.22,742.0
9,2025-03-15 10:31:53.701739,2025.0,3.0,15.0,10.0,31.0,53.0,33.875,21.25,743.0
10,2025-03-15 10:32:10.042465,2025.0,3.0,15.0,10.0,32.0,10.0,33.895,21.23,743.0
11,2025-03-15 10:32:26.377321,2025.0,3.0,15.0,10.0,32.0,26.0,33.92999999999999,21.2,741.0
12,2025-03-15 10:32:42.692728,2025.0,3.0,15.0,10.0,32.0,42.0,33.989999999999995,21.14,739.0
13,2025-03-15 10:32:59.025800,2025.0,3.0,15.0,10.0,32.0,59.0,34.06,21.06,736.0
14,2025-03-15 10:33:15.357511,2025.0,3.0,15.0,10.0,33.0,15.0,34.08625000000001,21.04,735.0
15,2025-03-15 10:33:31.686902,2025.0,3.0,15.0,10.0,33.0,31.0,34.160000000000004,20.96,732.0
16,2025-03-15 10:33:48.014122,2025.0,3.0,15.0,10.0,33.0,48.0,34.17,20.96,732.0
17,2025-03-15 10:34:03.865953,2025.0,3.0,15.0,10.0,34.0,3.0,34.24,20.88,729.0
18,2025-03-15 10:34:20.190403,2025.0,3.0,15.0,10.0,34.0,20.0,34.25,20.88,729.0
19,2025-03-15 10:34:36.035812,2025.0,3.0,15.0,10.0,34.0,36.0,34.32,20.8,726.0
20,2025-03-15 10:34:52.348312,2025.0,3.0,15.0,10.0,34.0,52.0,34.32,20.8,726.0
21,2025-03-15 10:35:08.203537,2025.0,3.0,15.0,10.0,35.0,8.0,34.405,20.72,722.0
22,2025-03-15 10:35:24.531609,2025.0,3.0,15.0,10.0,35.0,24.0,34.41,20.72,722.0
23,2025-03-15 10:35:40.384404,2025.0,3.0,15.0,10.0,35.0,40.0,34.41,20.72,722.0
24,2025-03-15 10:35:56.235244,2025.0,3.0,15.0,10.0,35.0,56.0,34.515,20.61,718.0
25,2025-03-15 10:36:12.564643,2025.0,3.0,15.0,10.0,36.0,12.0,34.595,20.53,715.0
26,2025-03-15 10:36:28.891704,2025.0,3.0,15.0,10.0,36.0,28.0,34.6,20.52,715.0
27,2025-03-15 10:36:45.217743,2025.0,3.0,15.0,10.0,36.0,45.0,34.65,20.48,713.0
28,2025-03-15 10:37:01.544166,2025.0,3.0,15.0,10.0,37.0,1.0,34.69,20.44,711.0
29,2025-03-15 10:37:17.869990,2025.0,3.0,15.0,10.0,37.0,17.0,34.74249999999999,20.38,709.0
30,2025-03-15 10:37:34.197246,2025.0,3.0,15.0,10.0,37.0,34.0,34.75125,20.37,709.0
31,2025-03-15 10:37:50.524414,2025.0,3.0,15.0,10.0,37.0,50.0,34.83,20.3,705.0
32,2025-03-15 10:38:06.833748,2025.0,3.0,15.0,10.0,38.0,6.0,34.8,20.33,707.0
33,2025-03-15 10:38:23.161447,2025.0,3.0,15.0,10.0,38.0,23.0,34.96625,20.16,700.0
34,2025-03-15 10:38:39.494511,2025.0,3.0,15.0,10.0,38.0,39.0,34.92625,20.2,702.0
35,2025-03-15 10:38:55.806893,2025.0,3.0,15.0,10.0,38.0,55.0,34.712500000000006,20.41,710.0
36,2025-03-15 10:39:12.134578,2025.0,3.0,15.0,10.0,39.0,12.0,34.69,20.44,711.0
37,2025-03-15 10:39:28.461754,2025.0,3.0,15.0,10.0,39.0,28.0,34.78,20.34,707.0
38,2025-03-15 10:39:44.789549,2025.0,3.0,15.0,10.0,39.0,44.0,34.82,20.3,706.0
39,2025-03-15 10:40:01.101159,2025.0,3.0,15.0,10.0,40.0,1.0,34.855000000000004,20.27,704.0
40,2025-03-15 10:40:17.430637,2025.0,3.0,15.0,10.0,40.0,17.0,34.895,20.23,703.0
41,2025-03-15 10:40:33.762491,2025.0,3.0,15.0,10.0,40.0,33.0,34.910000000000004,20.21,702.0
42,2025-03-15 10:40:50.091339,2025.0,3.0,15.0,10.0,40.0,50.0,34.97,20.16,700.0
43,2025-03-15 10:41:06.418952,2025.0,3.0,15.0,10.0,41.0,6.0,35.015,20.11,698.0
44,2025-03-15 10:41:22.749342,2025.0,3.0,15.0,10.0,41.0,22.0,35.68875,19.44,671.0
45,2025-03-15 10:41:39.079545,2025.0,3.0,15.0,10.0,41.0,39.0,35.12,20.01,694.0
46,2025-03-15 10:41:55.407486,2025.0,3.0,15.0,10.0,41.0,55.0,35.19,19.94,691.0
47,2025-03-15 10:42:11.736045,2025.0,3.0,15.0,10.0,42.0,11.0,35.230000000000004,19.89,690.0
48,2025-03-15 10:42:28.064197,2025.0,3.0,15.0,10.0,42.0,28.0,35.28,19.84,688.0
49,2025-03-15 10:42:44.391582,2025.0,3.0,15.0,10.0,42.0,44.0,35.28,19.84,688.0
50,2025-03-15 10:43:00.243891,2025.0,3.0,15.0,10.0,43.0,0.0,35.50125,19.62,679.0
51,2025-03-15 10:43:16.573192,2025.0,3.0,15.0,10.0,43.0,16.0,35.525,19.6,678.0
52,2025-03-15 10:43:32.884487,2025.0,3.0,15.0,10.0,43.0,32.0,35.58,19.55,676.0
53,2025-03-15 10:43:49.214435,2025.0,3.0,15.0,10.0,43.0,49.0,35.59,19.53,675.0
54,2025-03-15 10:44:05.543546,2025.0,3.0,15.0,10.0,44.0,5.0,35.67,19.45,672.0
55,2025-03-15 10:44:21.872423,2025.0,3.0,15.0,10.0,44.0,21.0,35.71,19.42,670.0
56,2025-03-15 10:44:38.199568,2025.0,3.0,15.0,10.0,44.0,38.0,35.695,19.43,671.0
57,2025-03-15 10:44:54.528570,2025.0,3.0,15.0,10.0,44.0,54.0,35.745,19.38,669.0
58,2025-03-15 10:45:10.857987,2025.0,3.0,15.0,10.0,45.0,10.0,35.849999999999994,19.28,665.0
59,2025-03-15 10:45:27.187856,2025.0,3.0,15.0,10.0,45.0,27.0,35.79375,19.33,667.0
60,2025-03-15 10:45:43.515610,2025.0,3.0,15.0,10.0,45.0,43.0,35.885,19.24,664.0
61,2025-03-15 10:45:59.845377,2025.0,3.0,15.0,10.0,45.0,59.0,35.82875,19.3,666.0
62,2025-03-15 10:46:16.158087,2025.0,3.0,15.0,10.0,46.0,16.0,35.89874999999999,19.23,663.0
63,2025-03-15 10:46:32.487719,2025.0,3.0,15.0,10.0,46.0,32.0,36.03,19.1,658.0
64,2025-03-15 10:46:48.800112,2025.0,3.0,15.0,10.0,46.0,48.0,35.942499999999995,19.18,661.0
65,2025-03-15 10:47:05.127649,2025.0,3.0,15.0,10.0,47.0,5.0,35.97125,19.15,660.0
66,2025-03-15 10:47:21.456277,2025.0,3.0,15.0,10.0,47.0,21.0,36.16,18.97,653.0
67,2025-03-15 10:47:37.789214,2025.0,3.0,15.0,10.0,47.0,37.0,36.06625,19.06,656.0
68,2025-03-15 10:47:54.117654,2025.0,3.0,15.0,10.0,47.0,54.0,37.03625,18.09,618.0
69,2025-03-15 10:48:10.448303,2025.0,3.0,15.0,10.0,48.0,10.0,35.9775,19.15,660.0
70,2025-03-15 10:48:26.779144,2025.0,3.0,15.0,10.0,48.0,26.0,36.13625,18.99,654.0
71,2025-03-15 10:48:43.109174,2025.0,3.0,15.0,10.0,48.0,43.0,36.22,18.9,650.0
72,2025-03-15 10:48:59.422052,2025.0,3.0,15.0,10.0,48.0,59.0,36.18,18.94,652.0
73,2025-03-15 10:49:15.753164,2025.0,3.0,15.0,10.0,49.0,15.0,36.26,18.87,649.0
74,2025-03-15 10:49:32.081502,2025.0,3.0,15.0,10.0,49.0,32.0,36.29,18.84,647.0
75,2025-03-15 10:49:48.410742,2025.0,3.0,15.0,10.0,49.0,48.0,36.355,18.77,645.0
76,2025-03-15 10:50:04.741260,2025.0,3.0,15.0,10.0,50.0,4.0,36.508750000000006,18.62,639.0
77,2025-03-15 10:50:21.070598,2025.0,3.0,15.0,10.0,50.0,21.0,36.42,18.7,642.0
78,2025-03-15 10:50:37.381651,2025.0,3.0,15.0,10.0,50.0,37.0,36.55875,18.57,637.0
79,2025-03-15 10:50:53.710852,2025.0,3.0,15.0,10.0,50.0,53.0,36.65,18.48,633.0
80,2025-03-15 10:51:10.040454,2025.0,3.0,15.0,10.0,51.0,10.0,36.57,18.56,636.0
81,2025-03-15 10:51:26.370944,2025.0,3.0,15.0,10.0,51.0,26.0,36.65,18.48,633.0
82,2025-03-15 10:51:42.699382,2025.0,3.0,15.0,10.0,51.0,42.0,36.72,18.4,630.0
83,2025-03-15 10:51:59.010513,2025.0,3.0,15.0,10.0,51.0,59.0,36.91375,18.21,623.0
84,2025-03-15 10:52:15.341089,2025.0,3.0,15.0,10.0,52.0,15.0,36.40875,18.72,643.0
85,2025-03-15 10:52:31.671459,2025.0,3.0,15.0,10.0,52.0,31.0,36.64,18.48,633.0
86,2025-03-15 10:52:48.000947,2025.0,3.0,15.0,10.0,52.0,48.0,36.74,18.39,629.0
87,2025-03-15 10:53:04.332529,2025.0,3.0,15.0,10.0,53.0,4.0,37.00625,18.12,619.0
88,2025-03-15 10:53:20.665611,2025.0,3.0,15.0,10.0,53.0,20.0,36.835,18.29,626.0
89,2025-03-15 10:53:36.996917,2025.0,3.0,15.0,10.0,53.0,36.0,36.83,18.3,626.0
90,2025-03-15 10:53:53.311300,2025.0,3.0,15.0,10.0,53.0,53.0,36.93,18.2,622.0
91,2025-03-15 10:54:09.576795,2025.0,3.0,15.0,10.0,54.0,9.0,36.985,18.14,620.0
92,2025-03-15 10:54:25.907514,2025.0,3.0,15.0,10.0,54.0,25.0,36.94,18.19,622.0
93,2025-03-15 10:54:42.235379,2025.0,3.0,15.0,10.0,54.0,42.0,37.045,18.08,617.0
94,2025-03-15 10:54:58.567665,2025.0,3.0,15.0,10.0,54.0,58.0,37.045,18.08,617.0
95,2025-03-15 10:55:14.421339,2025.0,3.0,15.0,10.0,55.0,14.0,37.06,18.06,617.0
96,2025-03-15 10:55:30.754014,2025.0,3.0,15.0,10.0,55.0,30.0,37.20625,17.92,611.0
97,2025-03-15 10:55:47.083814,2025.0,3.0,15.0,10.0,55.0,47.0,37.17875,17.95,612.0
98,2025-03-15 10:56:03.413212,2025.0,3.0,15.0,10.0,56.0,3.0,37.276250000000005,17.85,608.0
99,2025-03-15 10:56:19.744198,2025.0,3.0,15.0,10.0,56.0,19.0,37.345,17.78,605.0
100,2025-03-15 10:56:36.072890,2025.0,3.0,15.0,10.0,56.0,36.0,37.2825,17.84,608.0
101,2025-03-15 10:56:52.402128,2025.0,3.0,15.0,10.0,56.0,52.0,37.17875,17.95,612.0
102,2025-03-15 10:57:08.733891,2025.0,3.0,15.0,10.0,57.0,8.0,37.23125,17.89,610.0
103,2025-03-15 10:57:25.065154,2025.0,3.0,15.0,10.0,57.0,25.0,37.555,17.57,597.0
104,2025-03-15 10:57:41.394897,2025.0,3.0,15.0,10.0,57.0,41.0,37.505,17.62,599.0
105,2025-03-15 10:57:57.724328,2025.0,3.0,15.0,10.0,57.0,57.0,37.41,17.72,603.0
106,2025-03-15 10:58:14.054365,2025.0,3.0,15.0,10.0,58.0,14.0,37.55,17.58,597.0
