Unnamed: 0,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal
4708,50:08.8,2025,4,4,8,50,8,25.43,25.32,0
4709,50:23.8,2025,4,4,8,50,23,25.45,25.3,0
4710,50:38.8,2025,4,4,8,50,38,25.43,25.32,0
4711,50:53.8,2025,4,4,8,50,53,25.43,25.32,0
4712,51:08.8,2025,4,4,8,51,8,25.43,25.32,0
4713,51:23.8,2025,4,4,8,51,23,25.43,25.32,0
4714,51:38.8,2025,4,4,8,51,38,25.43,25.32,0
4715,51:53.8,2025,4,4,8,51,53,25.43,25.32,0
4716,52:08.8,2025,4,4,8,52,8,25.425,25.325,0
4717,52:23.8,2025,4,4,8,52,23,25.39,25.36,0
4718,52:38.8,2025,4,4,8,52,38,25.36,25.39,0
4719,52:53.8,2025,4,4,8,52,53,25.38,25.37,0
4720,53:08.8,2025,4,4,8,53,8,25.35,25.4,0
4721,53:23.8,2025,4,4,8,53,23,25.35,25.4,0
4722,53:38.8,2025,4,4,8,53,38,25.35,25.4,0
4723,53:53.8,2025,4,4,8,53,53,25.35,25.4,0
4724,54:08.8,2025,4,4,8,54,8,25.37,25.38,0
4725,54:23.8,2025,4,4,8,54,23,25.35,25.4,0
4726,54:38.8,2025,4,4,8,54,38,25.35,25.4,0
4727,54:53.8,2025,4,4,8,54,53,25.35,25.4,0
4728,55:08.8,2025,4,4,8,55,8,25.35,25.4,0
4729,55:23.8,2025,4,4,8,55,23,25.35,25.4,0
4730,55:38.8,2025,4,4,8,55,38,25.35,25.4,0
4731,55:53.8,2025,4,4,8,55,53,25.34125,25.40875,0
4732,56:08.8,2025,4,4,8,56,8,25.2975,25.4525,0
4733,56:23.8,2025,4,4,8,56,23,25.2975,25.4525,0
4734,56:38.8,2025,4,4,8,56,38,25.2975,25.4525,0
4735,56:53.8,2025,4,4,8,56,53,25.28,25.47,0
4736,57:08.8,2025,4,4,8,57,8,25.28,25.47,0
4737,57:23.8,2025,4,4,8,57,23,25.28,25.47,0
4738,57:38.8,2025,4,4,8,57,38,25.28,25.47,0
4739,57:53.8,2025,4,4,8,57,53,25.28,25.47,0
4740,58:08.8,2025,4,4,8,58,8,25.28,25.47,0
4741,58:23.8,2025,4,4,8,58,23,25.28,25.47,0
4742,58:38.8,2025,4,4,8,58,38,25.28,25.47,0
4743,58:53.8,2025,4,4,8,58,53,25.28,25.47,0
4744,59:08.8,2025,4,4,8,59,8,25.28,25.47,0
4745,59:23.8,2025,4,4,8,59,23,25.28,25.47,0
