Unnamed: 0,datetime,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal,gal_filter
318,2025-03-30 21:02:11.072244,2025-03-30 21:02:11.072244,2025.0,3.0,30.0,21.0,2.0,11.0,13.425,41.7,1350.32,1307.94
319,2025-03-30 21:02:26.066835,2025-03-30 21:02:26.066835,2025.0,3.0,30.0,21.0,2.0,26.0,12.9475,42.18,1350.32,1307.94
320,2025-03-30 21:02:41.066778,2025-03-30 21:02:41.066778,2025.0,3.0,30.0,21.0,2.0,41.0,13.53625,41.59,1350.32,1307.94
321,2025-03-30 21:02:56.067176,2025-03-30 21:02:56.067176,2025.0,3.0,30.0,21.0,2.0,56.0,13.725,41.4,1350.32,1307.94
322,2025-03-30 21:03:11.066261,2025-03-30 21:03:11.066261,2025.0,3.0,30.0,21.0,3.0,11.0,13.85,41.28,1350.32,1307.94
323,2025-03-30 21:03:26.066451,2025-03-30 21:03:26.066451,2025.0,3.0,30.0,21.0,3.0,26.0,10.24625,44.88,1350.32,1307.94
324,2025-03-30 21:03:41.066214,2025-03-30 21:03:41.066214,2025.0,3.0,30.0,21.0,3.0,41.0,98.06125,-42.94,0.0,1307.94
325,2025-03-30 21:03:56.066256,2025-03-30 21:03:56.066256,2025.0,3.0,30.0,21.0,3.0,56.0,120.1125,-64.99,0.0,1307.94
326,2025-03-30 21:04:11.066164,2025-03-30 21:04:11.066164,2025.0,3.0,30.0,21.0,4.0,11.0,98.2675,-43.14,0.0,1307.94
327,2025-03-30 21:04:26.067435,2025-03-30 21:04:26.067435,2025.0,3.0,30.0,21.0,4.0,26.0,70.33500000000001,-15.21,0.0,1307.94
328,2025-03-30 21:04:41.066006,2025-03-30 21:04:41.066006,2025.0,3.0,30.0,21.0,4.0,41.0,73.6225,-18.5,0.0,1307.94
329,2025-03-30 21:04:56.066268,2025-03-30 21:04:56.066268,2025.0,3.0,30.0,21.0,4.0,56.0,48.9125,6.21,158.22,1307.94
330,2025-03-30 21:05:11.066114,2025-03-30 21:05:11.066114,2025.0,3.0,30.0,21.0,5.0,11.0,24.5325,30.59,1115.24,1307.94
331,2025-03-30 21:05:26.066305,2025-03-30 21:05:26.066305,2025.0,3.0,30.0,21.0,5.0,26.0,49.09,6.03,152.08,1307.94
332,2025-03-30 21:05:41.066354,2025-03-30 21:05:41.066354,2025.0,3.0,30.0,21.0,5.0,41.0,49.09,6.03,152.08,1307.94
333,2025-03-30 21:05:56.066494,2025-03-30 21:05:56.066494,2025.0,3.0,30.0,21.0,5.0,56.0,67.2825,-12.16,0.0,1307.94
334,2025-03-30 21:06:11.066667,2025-03-30 21:06:11.066667,2025.0,3.0,30.0,21.0,6.0,11.0,24.32625,30.8,1123.45,1307.94
335,2025-03-30 21:06:26.066409,2025-03-30 21:06:26.066409,2025.0,3.0,30.0,21.0,6.0,26.0,45.99875,9.13,263.83,1307.94
336,2025-03-30 21:06:41.066618,2025-03-30 21:06:41.066618,2025.0,3.0,30.0,21.0,6.0,41.0,98.22,-43.1,0.0,1307.94
337,2025-03-30 21:06:56.066435,2025-03-30 21:06:56.066435,2025.0,3.0,30.0,21.0,6.0,56.0,73.67125,-18.55,0.0,1307.94
338,2025-03-30 21:07:11.067370,2025-03-30 21:07:11.067370,2025.0,3.0,30.0,21.0,7.0,11.0,91.4175,-36.29,0.0,1307.94
339,2025-03-30 21:07:26.067111,2025-03-30 21:07:26.067111,2025.0,3.0,30.0,21.0,7.0,26.0,94.8825,-39.76,0.0,1307.94
340,2025-03-30 21:07:41.072051,2025-03-30 21:07:41.072051,2025.0,3.0,30.0,21.0,7.0,41.0,106.96375,-51.84,0.0,1307.94
341,2025-03-30 21:07:56.963247,2025-03-30 21:07:56.963247,2025.0,3.0,30.0,21.0,7.0,56.0,48.99625,6.13,155.32,1307.94
342,2025-03-30 21:08:11.094526,2025-03-30 21:08:11.094526,2025.0,3.0,30.0,21.0,8.0,11.0,91.555,-36.43,0.0,1307.94
343,2025-03-30 21:08:26.083322,2025-03-30 21:08:26.083322,2025.0,3.0,30.0,21.0,8.0,26.0,91.53875,-36.41,0.0,1307.94
344,2025-03-30 21:08:41.069339,2025-03-30 21:08:41.069339,2025.0,3.0,30.0,21.0,8.0,41.0,95.12,-40.0,0.0,1307.94
345,2025-03-30 21:08:56.075324,2025-03-30 21:08:56.075324,2025.0,3.0,30.0,21.0,8.0,56.0,48.87375,6.25,159.56,1307.94
346,2025-03-30 21:09:11.070663,2025-03-30 21:09:11.070663,2025.0,3.0,30.0,21.0,9.0,11.0,49.33,5.8,143.86,1307.94
347,2025-03-30 21:09:26.069856,2025-03-30 21:09:26.069856,2025.0,3.0,30.0,21.0,9.0,26.0,94.705,-39.58,0.0,1307.94
348,2025-03-30 21:09:41.066089,2025-03-30 21:09:41.066089,2025.0,3.0,30.0,21.0,9.0,41.0,116.3275,-61.2,0.0,1307.94
349,2025-03-30 21:09:56.067247,2025-03-30 21:09:56.067247,2025.0,3.0,30.0,21.0,9.0,56.0,48.87375,6.25,159.56,1307.94
350,2025-03-30 21:10:11.077372,2025-03-30 21:10:11.077372,2025.0,3.0,30.0,21.0,10.0,11.0,189.7975,-134.67,0.0,1307.94
351,2025-03-30 21:10:26.066145,2025-03-30 21:10:26.066145,2025.0,3.0,30.0,21.0,10.0,26.0,72.47125,-17.35,0.0,1307.94
352,2025-03-30 21:10:41.066445,2025-03-30 21:10:41.066445,2025.0,3.0,30.0,21.0,10.0,41.0,140.48875,-85.36,0.0,1307.94
353,2025-03-30 21:10:56.066816,2025-03-30 21:10:56.066816,2025.0,3.0,30.0,21.0,10.0,56.0,95.07875,-39.95,0.0,1307.94
354,2025-03-30 21:11:11.073782,2025-03-30 21:11:11.073782,2025.0,3.0,30.0,21.0,11.0,11.0,49.09,6.03,152.08,1307.94
355,2025-03-30 21:11:26.066557,2025-03-30 21:11:26.066557,2025.0,3.0,30.0,21.0,11.0,26.0,161.97875,-106.85,0.0,1307.94
356,2025-03-30 21:11:41.068487,2025-03-30 21:11:41.068487,2025.0,3.0,30.0,21.0,11.0,41.0,95.045,-39.92,0.0,1307.94
357,2025-03-30 21:11:56.069638,2025-03-30 21:11:56.069638,2025.0,3.0,30.0,21.0,11.0,56.0,94.66125,-39.54,0.0,1307.94
358,2025-03-30 21:12:11.066688,2025-03-30 21:12:11.066688,2025.0,3.0,30.0,21.0,12.0,11.0,94.84250000000002,-39.72,0.0,1307.94
359,2025-03-30 21:12:26.069369,2025-03-30 21:12:26.069369,2025.0,3.0,30.0,21.0,12.0,26.0,73.86875,-18.74,0.0,1307.94
360,2025-03-30 21:12:41.066213,2025-03-30 21:12:41.066213,2025.0,3.0,30.0,21.0,12.0,41.0,98.03125,-42.91,0.0,1307.94
361,2025-03-30 21:12:56.066280,2025-03-30 21:12:56.066280,2025.0,3.0,30.0,21.0,12.0,56.0,73.8725,-18.75,0.0,1307.94
362,2025-03-30 21:13:11.066182,2025-03-30 21:13:11.066182,2025.0,3.0,30.0,21.0,13.0,11.0,147.18,-92.06,0.0,1307.94
363,2025-03-30 21:13:26.066297,2025-03-30 21:13:26.066297,2025.0,3.0,30.0,21.0,13.0,26.0,98.15375,-43.03,0.0,1307.94
364,2025-03-30 21:13:41.066261,2025-03-30 21:13:41.066261,2025.0,3.0,30.0,21.0,13.0,41.0,119.34125,-64.22,0.0,1307.94
365,2025-03-30 21:13:56.069887,2025-03-30 21:13:56.069887,2025.0,3.0,30.0,21.0,13.0,56.0,46.0225,9.1,262.93,1307.94
366,2025-03-30 21:14:11.066305,2025-03-30 21:14:11.066305,2025.0,3.0,30.0,21.0,14.0,11.0,144.02499999999998,-88.9,0.0,1307.94
