Unnamed: 0,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal
0,2025-03-30 21:02:10.366711,2025.0,3.0,30.0,21.0,2.0,10.0,18.17875,37.82,1471.35
1,2025-03-30 21:02:25.331935,2025.0,3.0,30.0,21.0,2.0,25.0,12.597499999999998,43.4,1520.53
2,2025-03-30 21:02:40.332445,2025.0,3.0,30.0,21.0,2.0,40.0,13.11625,42.88,1520.53
3,2025-03-30 21:02:55.331805,2025.0,3.0,30.0,21.0,2.0,55.0,13.31375,42.69,1520.53
4,2025-03-30 21:03:10.331566,2025.0,3.0,30.0,21.0,3.0,10.0,13.49125,42.51,1520.53
5,2025-03-30 21:03:25.331576,2025.0,3.0,30.0,21.0,3.0,25.0,11.4775,44.52,1520.53
6,2025-03-30 21:03:40.331475,2025.0,3.0,30.0,21.0,3.0,40.0,9.72125,46.28,1520.53
7,2025-03-30 21:03:55.331892,2025.0,3.0,30.0,21.0,3.0,55.0,9.77375,46.23,1520.53
8,2025-03-30 21:04:10.331520,2025.0,3.0,30.0,21.0,4.0,10.0,9.7925,46.21,1520.53
9,2025-03-30 21:04:25.331615,2025.0,3.0,30.0,21.0,4.0,25.0,9.81625,46.18,1520.53
10,2025-03-30 21:04:40.331490,2025.0,3.0,30.0,21.0,4.0,40.0,9.725,46.28,1520.53
11,2025-03-30 21:04:55.331513,2025.0,3.0,30.0,21.0,4.0,55.0,9.822500000000002,46.18,1520.53
12,2025-03-30 21:05:10.331580,2025.0,3.0,30.0,21.0,5.0,10.0,9.79375,46.21,1520.53
13,2025-03-30 21:05:25.331501,2025.0,3.0,30.0,21.0,5.0,25.0,9.79875,46.2,1520.53
14,2025-03-30 21:05:40.331537,2025.0,3.0,30.0,21.0,5.0,40.0,9.8475,46.15,1520.53
15,2025-03-30 21:05:55.331534,2025.0,3.0,30.0,21.0,5.0,55.0,9.83625,46.16,1520.53
16,2025-03-30 21:06:10.332324,2025.0,3.0,30.0,21.0,6.0,10.0,9.8475,46.15,1520.53
17,2025-03-30 21:06:25.331753,2025.0,3.0,30.0,21.0,6.0,25.0,9.72875,46.27,1520.53
18,2025-03-30 21:06:40.332168,2025.0,3.0,30.0,21.0,6.0,40.0,9.71,46.29,1520.53
